     read       raw corrected
       id    length    length
--------- --------- ---------
        1      2837      2837
        2       628       615
        3      4357      4279
        4      3797      3793
        5     13746     13545
        7      2031      2023
        8       764       764
        9       609       592
       13       671       672
       15      1819      1700
       16      1247      1247
       17      4290      4224
       20      2034      2034
       21       971       900
       22      4482      4420
       23      3009      3009
       24      4273      4182
       25       570       571
       26      3333      3333
       27      7904      7904
       28      3896      3896
       29       446       446
       30      6103      6103
       32      1477      1488
       34      2119      2119
       38     14213     13937
       39      6968      6973
       40      8014      7917
       41       905       886
       43      1101      1092
       44      2128      2128
       46      1654      1641
       47       701       699
       50      2507      2432
       54      5371      5289
       55       373       371
       56     18495     18495
       58       308       308
       59      1732      1709
       60       335       327
       61     19686     19686
       62      3628      3613
       63     26554     25733
       65       855       849
       66      1105      1103
       67      3733      3710
       68     14482     14159
       69       577       559
       70      2208      2209
       71       796       775
       72     18899     18493
       73     13239     13239
       76      2641      2577
       77      3314      3277
       78      6304      6215
       79      1029      1030
       80      2015      1959
       81      2361      2358
       83      8455      8436
       86       362       358
       87      2013      2002
       88      1035      1009
       89       992       990
       90      1897      1887
       92      9735      9735
       95      1307      1276
       96      2394      2305
       97     12264     11735
       98      2277      2277
      100      1823      1763
      101      9070      8695
      102       945       945
      104       392       392
      105      3225      3225
      109      1777      1767
      110      3313      3288
      111     19378     19304
      112      4484      3150
      117       746       739
      118       527       527
      121      9076      8802
      122      1341      1289
      123      8294      8075
      124      6880      6880
      125      1038      1038
      126       991       985
      127       820       814
      128      1265      1254
      129     23332     22821
      132      3504      3504
      133       557       543
      134      2001      1964
      135      4946      4719
      137      9204      9124
      138      2072      1956
      141      1766      1766
      142       435       423
      144     16222     15956
      145      5899      5695
      146      1164      1164
      147       508       508
      148      1754      1759
      149      3375      3255
      150      2246      2243
      151       363       363
      152      1079      1079
      153      7372      7388
      154      6999      6771
      155       217       217
      156      1301      1256
      157      4825      4579
      158       974       967
      160     13649     13330
      161      1736      1721
      163      2656      2604
      164       997       997
      165      2683      2683
      166       591       576
      167      1198      1198
      168     10050      9823
      169      2014      1947
      170       489       476
      171       728       724
      173      9877      9877
      174       175       175
      175       789       783
      178     27118     26689
      180      2153      2116
      181      1670      1657
      183       535       528
      185      9465      9300
      186      5127      4957
      188      1992      1992
      189       799       799
      191      1339      1339
      192      2684      2649
      193      3008      3008
      194       629       629
      195      1677      1634
      196      1176      1176
      197     12279     12279
      199       813       813
      200     16073     15582
      201       725       724
      203       822       796
      204      2135      2087
      205       361       361
      206      2738      2738
      207     20155     19892
      208     15489     14930
      209      9109      9109
      210      1935      1935
      211      1059      1059
      212      1165      1160
      214      3710      3712
      215      1043      1043
      216       206       206
      217      3592      3464
      218       490       485
      219      2431      2413
      221      1027      1027
      222     17139     16964
      223      1537      1537
      224      1316      1285
      225      2822      2636
      226      3363      3363
      227       958       958
      228      1112      1112
      229       311       311
      230      7578      7559
      232       704       699
      233      1146      1129
      234     15625     15379
      237      1319      1317
      239      1262      1262
      241    124994    124838
      242      4972      4861
      243       704       704
      244       736       727
      245      2550      2465
      247      1875      1875
      249      8135      8086
      250      7666      7666
      253      1962      1951
      255      6423      6381
      256      2378      2378
      257      1161      1160
      258       195       186
      259       544       522
      260      5777      5777
      262      4402      4402
      263       269       266
      264      3529      3447
      265      2259      2214
      268      6981      6981
      270       578       572
      276       395       375
      277      7269      7269
      278     18444     17736
      279     30977     30298
      280      5411      5252
      281      3032      3022
      282      2645      2558
      284      3285      3231
      285      1773      1766
      286    108800    108555
      287       294       294
      289      1492      1492
      290      3457      3453
      291       417       417
      292      1583      1571
      293      2257      2257
      296       891       891
      297      6565      6565
      298      9819      9802
      299       977       977
      300      8236      8236
      301      1620      1619
      302      3215      3215
      304      1739      1690
      305      5162      5160
      306       709       689
      308      1063      1064
      309      5525      5469
      311      1016       948
      312     22227     20969
      314      1437      1437
      320      1051      1051
      321      2235      2221
      322      1160      1160
      323      2137      2068
      324       322       322
      326      1075      1074
      327      1063      1063
      329      1754      1754
      330      1982      1881
      332      4460      4355
      333      1212      1212
      334      1520      1506
      337      3988      3956
      338       929       929
      339      1012       992
      340      1110      1096
      341      1963      1947
      342     10725     10666
      343      2883      2813
      346       203       203
      347      1175      1175
      348      1112      1103
      349       602       602
      352      3631      3492
      354      9885      9860
      355      2667      2667
      356      3596      3579
      358      1356      1355
      359     11089     11045
      360      3403      3403
      361      3846      3845
      362     15113     15113
      363       878       887
      364     14111     14111
      365       957       957
      366       649       649
      367      1329      1258
      370       453       410
      371       386       385
      373     11890     11342
      375      1539      1523
      376       554       554
      378       526       514
      380      1949      1949
      381      1447      1447
      382       686       675
      383      2627      2619
      385     39153     38507
      387       854       811
      388      4591      4557
      389       505       505
      390      5841      5828
      392       764       764
      393       665       654
      395      5817      5740
      396      6903      6890
      397       743       743
      398     11551     11551
      399       649       642
      400      2835      2805
      401       705       691
      402      4169      4106
      403     13789     13503
      405      2941      2784
      406      9896      9835
      407      4325      4297
      408       691       691
      409      1123      1123
      410      1457      1457
      411       733       733
      412      1017      1017
      413      2328      2181
      414      1255      1253
      415     44995     44913
      417     11667     11525
      418      2076      2045
      420       340       339
      421      5425      5423
      422      5328      5328
      424      2615      2520
      425     14193     14071
      426       619       594
      427     44598     44000
      428     11616     11471
      430      1056      1016
      432      1983      1928
      433       337       336
      436     19698     19541
      438      2179      2153
      439       485       477
      440      1091      1091
      444      3799      3799
      445      3539      3398
      447      1103      1091
      448      8989      8977
      449      1302      1302
      451      3217      3197
      453      2374      2374
      454      7416      7416
